TrackerId,eye,Id,currentTime,isTracked,TrackerStatus,rawPupilX,rawPupilY,NoseTipX,NoseTipY,EyeCornerX,EyeCornerY,EyeCornerX_Inner,EyeCornerY_Inner,EyeCornerX_Outer,EyeCornerY_Outer,rectIsTracked,rectX,rectY,rectW,rectH,limbusX,limbusY,limbusX_Inner,limbusY_Inner,limbusX_Outer,limbusY_Outer,pointX,pointY,finalX_EyeRegion,finalY_EyeRegion,finalX_NoseTip,finalY_NoseTip,finalX_EyeCorner,finalY_EyeCorner,finalX_BaseLine,finalY_BaseLine,limbusX_NoseTip,limbusY_NoseTip,limbusX_EyeCorner,limbusY_EyeCorner,isBlinking,baseline_X,baseline_Y,baseline_Ux,baseline_Uy,baseline_Vx,baseline_Vy,updated_X_EyeRegion,updated_Y_EyeRegion,updated_X_NoseTip,updated_Y_NoseTip,updated_X_EyeCorner,updated_Y_EyeCorner,updated_X_BaseLine,updated_Y_BaseLine,updated_limbusX_NoseTip,updated_limbusY_NoseTip,updated_limbusX_EyeCorner,updated_limbusY_EyeCorner,updated_dXdt_EyeRegion,updated_dYdt_EyeRegion,updated_dXdt_NoseTip,updated_dYdt_NoseTip,updated_dXdt_EyeCorner,updated_dYdt_EyeCorner,updated_dXdt_BaseLine,updated_dYdt_BaseLine,updated_limbusdXdt_NoseTip,updated_limbusdYdt_NoseTip,updated_limbusdXdt_EyeCorner,updated_limbusdYdt_EyeCorner
4,OS,NaN,0.3333333,1,KLT_TRACK,406,205,320.716644287109,356.610961914063,367.09033203125,218.548309326172,367.09033203125,218.548309326172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,389.10853605699,211.388023750307,389.10853605699,211.388023750307,NaN,NaN,389.10853605699,211.388023750307,NaN,NaN,86.4009399414063,-151.079452514648,40.0272521972656,-13.0167999267578,85.4322708394555,150.843555969663,69.5709306807713,-145.510512035972,24.0077592940525,-7.96198908675277,0,320.7236328125,356.826995849609,0.999997490493033,0.00224031418243715,-0.00224031418243715,0.999997490493033,NaN,NaN,0.227409325540549,-0.167905148118621,0.067402891814865,-0.023120090365925,-0.194595987346986,0.480853409282474,-0.0843568914972224,-0.0664745394486772,-0.021332833707838,0.168930594909326,NaN,NaN,1.925655107628,-2.45432009483413,0.490870556859585,-0.175671231591983,-0.0489086568598759,8.24582812166212,-3.37773360989079,-1.61702373888431,-7.61428878901421,6.71066416586136
4,OS,NaN,0.3666666,1,KLT_TRACK,406,206,319.968017578125,356.766235351563,366.415405273438,218.62776184082,366.415405273438,218.62776184082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,388.738303505879,211.381314162316,388.738303505879,211.381314162316,NaN,NaN,388.738303505879,211.381314162316,NaN,NaN,86.4873657226563,-151.13623046875,40.0399780273438,-12.9977569580078,85.3928065806514,151.388677593399,68.3918917698808,-145.222938163756,22.6931307835526,-7.23973809051347,0,319.994171142578,357.002563476563,0.999999512387646,0.00098753454175579,-0.00098753454175579,0.999999512387646,NaN,NaN,0.243994519114963,-0.233370702713728,0.0728151798250423,-0.0262013524778322,-0.102190194653687,0.742837852320804,-0.225302403078544,-0.128813640590096,-0.383459136705557,0.445556290975871,NaN,NaN,-1.75384810046674,-1.26762844570818,0.161442415162796,-0.220133254140227,4.07249918911949,5.8341445430737,-3.36494576651079,-1.82009996262246,-7.77813471137258,6.15047719298036
4,OS,NaN,0.4,1,KLT_TRACK,407,207,319.597473144531,356.907043457031,365.864135742188,218.786605834961,365.864135742188,218.786605834961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,388.511828513157,211.415763102441,388.511828513157,211.415763102441,NaN,NaN,388.511828513157,211.415763102441,NaN,NaN,86.3321533203125,-151.160018920898,40.0654907226563,-13.0395812988281,85.7860433497404,151.340329416853,68.7702859277543,-145.384921189247,22.8741677636918,-7.40529167264523,0,319.60302734375,357.155181884766,0.999999935907251,0.000358030016781362,-0.000358030016781362,0.999999935907251,NaN,NaN,0.110486060381163,-0.252413753420115,0.0781657248737986,-0.0377956479797152,0.076904094344286,0.869796573292206,-0.308686721429467,-0.18781459762684,-0.5398754070705,0.57896261279059,NaN,NaN,-5.58022678284523,-0.415649429752645,0.332004112897462,-0.60988496297531,1.58906236726023,2.52153689292737,-1.23150939854249,-1.64272634888611,1.00251910314769,1.15968623442128
4,OS,NaN,0.4333333,1,KLT_TRACK,406,207,319.401641845703,357.099517822266,365.388397216797,219.035018920898,365.388397216797,219.035018920898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,388.146910676038,211.621109139644,388.146910676038,211.621109139644,NaN,NaN,388.146910676038,211.621109139644,NaN,NaN,86.03662109375,-151.111312866211,40.0498657226563,-13.0468139648438,85.7811077790004,151.197698830845,68.9143553686256,-145.49128035459,23.12343129636,-7.61925581845748,0,319.38671875,357.447845458984,0.999998923694897,0.00146717723817001,-0.00146717723817001,0.999998923694897,NaN,NaN,-0.128020785748944,-0.261080678552219,0.0949487984183435,-0.0668603703390183,0.00374734946574051,0.910940395900525,-0.307403070698356,-0.238328785273382,-0.316624496411741,0.522868745260164,NaN,NaN,-6.2566241230866,-0.42901819632706,0.496168036719548,-0.953852482321375,-5.60028615812704,1.28905898432339,0.0306679575467066,-1.48833039568673,8.51101952956608,-1.90330257276025
4,OS,NaN,0.4666666,1,KLT_TRACK,404,206,319.021087646484,357.204071044922,364.690093994141,219.135940551758,364.690093994141,219.135940551758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,387.619810445255,211.643228962378,387.619810445255,211.643228962378,NaN,NaN,387.619810445255,211.643228962378,NaN,NaN,85.7867126464844,-151.177337646484,40.1177062988281,-13.1092071533203,85.1988279948291,151.546276951731,68.745268830335,-145.478408682621,23.4568166818975,-7.51483141211344,0,318.960510253906,357.52392578125,0.999999888303437,-0.000472644808921729,0.000472644808921731,0.999999888303436,NaN,NaN,-0.306621797383002,-0.281014937907372,0.111243560910566,-0.101385749877641,-0.296447942845106,0.955733752976499,-0.306642192970884,-0.287036524783929,0.0275253274992693,0.452075901493411,NaN,NaN,-2.67222952596821,-0.616375123235547,0.336307938627255,-0.796813938968102,-6.45359567509087,0.76174430197348,-0.755131208154333,-1.32064004273956,8.10801678677269,-0.965586198477299
4,OS,NaN,0.5,1,KLT_TRACK,404,206,318.216583251953,357.225830078125,363.980407714844,219.135925292969,363.980407714844,219.135925292969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,387.053672662335,211.582873114408,387.053672662335,211.582873114408,NaN,NaN,387.053672662335,211.582873114408,NaN,NaN,85.8518981933594,-151.212768554688,40.0880737304688,-13.1228637695313,85.179572508625,151.470621493788,68.598722798771,-145.560842082544,23.6394027304116,-7.4926963305906,0,318.155090332031,357.48974609375,0.999998516989683,-0.00172221323691493,0.00172221323691493,0.999998516989683,NaN,NaN,-0.306169509887809,-0.302172373980426,0.117369338870425,-0.119981326164023,-0.42649257732684,0.9617233747569,-0.357745176413019,-0.326371498810687,0.223910226306998,0.458496299842137,NaN,NaN,1.39316872884504,-0.432810082698566,0.11656360460567,-0.268889754677963,0.386081238529798,-1.1546664753147,-1.65168068977141,-0.801645676008608,3.06256971244663,0.831307143400674
4,OS,NaN,0.5333333,1,KLT_TRACK,404,207,317.316711425781,357.194580078125,363.238464355469,219.108963012695,363.238464355469,219.108963012695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,385.859083597073,211.709168832449,385.859083597073,211.709168832449,NaN,NaN,385.859083597073,211.709168832449,NaN,NaN,86.0021057128906,-151.19694519043,40.0803527832031,-13.111328125,85.4245022271624,151.345216444079,68.8370894103821,-145.642956963717,23.8152083068665,-7.52608989828758,0,317.264221191406,357.385589599609,0.999996635951106,-0.00259385552234562,0.00259385552234562,0.999996635951106,NaN,NaN,-0.213743835687708,-0.309868957847613,0.119014471769731,-0.119311742485831,-0.270709180740411,0.878755949466637,-0.416754294011668,-0.340479596572692,0.231696743748035,0.507496405430361,NaN,NaN,1.77110886361115,-0.144256944668371,0.0894238203938889,0.0896768423616376,5.56666849609629,-3.31216341005202,-1.02930583285469,-0.164706226915575,-1.22242950790876,1.05375826070557
4,OS,NaN,0.5666666,1,KLT_TRACK,402,206,316.543823242188,357.180145263672,362.398193359375,219.051513671875,362.398193359375,219.051513671875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,385.211587129298,211.617335603291,385.211587129298,211.617335603291,NaN,NaN,385.211587129298,211.617335603291,NaN,NaN,86.0016784667969,-151.211395263672,40.1473083496094,-13.082763671875,85.6737470327523,151.195122905534,68.5423721712919,-145.485411245676,23.4608902376982,-7.34234483942598,0,316.49609375,357.321197509766,0.99999682514245,-0.00251986210330229,0.00251986210330229,0.99999682514245,NaN,NaN,-0.18809570372099,-0.311789494007854,0.123330920935096,-0.114002875985037,-0.0553817153649874,0.740912701564326,-0.426365496649609,-0.337351902957977,0.142415007275048,0.528746780305291,NaN,NaN,-0.364526998525057,-0.480041077616933,0.119019165730597,0.0561346950573825,5.98546432472022,-4.65174890317109,0.406293231409233,-0.151174389371875,-2.59440146849659,-0.869310696669653
4,OS,NaN,0.6,1,KLT_TRACK,401,206,315.84130859375,357.201690673828,361.653930664063,219.084335327148,361.653930664063,219.084335327148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,384.612619973381,211.577957072103,384.612619973381,211.577957072103,NaN,NaN,384.612619973381,211.577957072103,NaN,NaN,85.9101257324219,-151.227294921875,40.0975036621094,-13.1099395751953,85.6364429728157,151.131489551454,68.6677638871107,-145.56280966038,23.5576564652357,-7.46699972385704,0,315.771850585938,357.341064453125,0.999994262164046,-0.00338757125178373,0.00338757125178374,0.999994262164046,NaN,NaN,-0.238045647740279,-0.341871712356777,0.126949086785743,-0.115569427610849,0.128321973756414,0.568639200863601,-0.389668065041278,-0.35055789423663,0.0587365593682136,0.449542330008694,NaN,NaN,-1.19305401992319,-1.56675556567875,-0.0034138915754677,-0.174839539580631,5.8386389719407,-4.9977214066027,1.15607902522272,-0.918171853255102,-2.00921449066731,-3.42329576475775
4,OS,NaN,0.6333333,1,KLT_TRACK,402,207,315.392730712891,357.515319824219,361.199127197266,219.324188232422,361.199127197266,219.324188232422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,384.108027955638,211.826771824113,384.108027955638,211.826771824113,NaN,NaN,384.108027955638,211.826771824113,NaN,NaN,85.886962890625,-151.308334350586,40.08056640625,-13.1172027587891,86.0193298487178,150.843547886131,68.7713113796312,-145.623733601725,23.4134927761156,-7.74623116031859,0,315.317993164063,357.624542236328,0.999991586218561,-0.00410213262666949,0.00410213262666949,0.999991586218561,NaN,NaN,-0.267632678151003,-0.41623991727829,0.123103328049602,-0.125658851118397,0.333861077385691,0.407731107866766,-0.349293523098794,-0.398563390447379,0.00846730759007741,0.300526948544916,NaN,NaN,-0.22795290198352,-2.43007155999072,-0.238465607213851,-0.34983696009749,5.60679639304867,-2.89209467840877,0.660026116536144,-1.67017603947202,-2.07876641942622,-3.38882459017933
